id,area,Y,M,O,total
20053,8.48922548067668,1431,3730,993,6154
20055,33.422745875345,3824,11814,5562,21200
20056_AM,52.998626465024,1645,4469,1607,7721
20059,107.684348174578,2244,6041,3091,11376
20061,9.989135079808731,1100,3131,1597,5828
20063,59.624356846784195,2630,5709,1991,10330
20064,10.6590135346998,2280,7216,6393,15889
20067,31.9193392052792,7531,23478,7916,38925
2006901,0.484268510342368,1303,3491,872,5666
2006902,0.459323133521416,1911,5119,1279,8309
2006903,7.1792481019197005,8814,23978,6488,39280
2006904,2.37044943513758,5550,14860,3715,24125
2006905,2.79191007241038,3829,10252,2563,16644
2006906,36.917021719029705,10231,27498,7699,45428
2006907,10.9076756819522,9273,25516,8842,43631
20071,37.2939273829465,4012,10972,3676,18660
20072,22.3979433533665,1134,3454,1753,6341
20073,25.7474753734194,1620,3208,1482,6310
20074_AM,106.96018498118,3423,10190,4808,18421
20075,17.6414165280107,1385,3219,1272,5876
20076,5.6252027486463,1869,4443,3597,9909
20077_AM,35.4341113151496,1669,4686,2436,8791
20079,14.653406936328,4673,13910,4091,22674
20080,18.5513301970701,1658,4991,3037,9686
20081,10.5300781970327,1529,6055,2300,9884
20902,5.80874756768596,3304,9825,4481,17610
20903,12.0124991055309,943,2875,2045,5863
21002,33.9013347056378,2103,10836,8264,21203
21005,860.8102411641149,2665,11300,10413,24378
21006_AM,474.31205104131504,1635,4917,2070,8622
21007_AM,209.30108659257505,1348,4696,3328,9372
21008_AM,709.0948445010149,852,2773,1411,5036
21010_AM,240.54514927975,3722,12226,8592,24540
21011,144.97293771608702,1097,2439,1354,4890
21013,49.4347708017522,2336,6730,5487,14553
21014_AM,134.740469766121,1744,5129,2226,9099
21021,225.60967833702705,2592,6893,10301,19786
21023_AM,751.73892790416,1262,3245,1364,5871
21025,173.351793818318,581,2542,1571,4694
21029_AM,623.073250210227,1329,3371,1404,6104
21035_AM,385.70307318329503,2850,8213,6441,17504
21040_AM,346.54715621363005,1555,3810,1672,7037
2104101,0.671369005383135,3172,9743,4984,17899
2104102,1.87137502482626,2792,8577,4388,15757
2104103,43.0229992606525,2330,6961,3692,12983
2104104,1.1069120977735,2815,8647,4424,15886
2104105,9.468133504616947,3075,9176,4588,16839
2104106,24.8611493711887,1817,5492,2802,10111
2104107,26.092213610006,5343,15507,7808,28658
